epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1239.68,1.67277,1.06019,1.03852,0.68554,0.73928,0.72958,0.36157,1.65531,1.02594,1.03634,0.000881979,0.000881979,0.000881979
60,1260.25,1.64225,1.04953,1.02376,0.66654,0.74342,0.72411,0.36228,1.62963,1.02115,1.03094,0.000872547,0.000872547,0.000872547
61,1280.87,1.66604,1.0464,1.05387,0.67554,0.75082,0.72636,0.36331,1.63883,1.01066,1.03486,0.000863116,0.000863116,0.000863116
62,1301.53,1.66728,1.0592,1.03332,0.6889,0.74547,0.73977,0.36988,1.62846,1.00566,1.02436,0.000853685,0.000853685,0.000853685
63,1322.1,1.66181,1.05864,1.03856,0.69565,0.72874,0.74003,0.37151,1.62396,1.00872,1.02851,0.000844253,0.000844253,0.000844253
64,1343.31,1.64943,1.05415,1.03438,0.64834,0.73531,0.71471,0.35667,1.62715,1.03411,1.02646,0.000834822,0.000834822,0.000834822
65,1364.12,1.65754,1.04564,1.02109,0.68598,0.74595,0.73593,0.37137,1.62082,0.98671,1.02711,0.00082539,0.00082539,0.00082539
66,1384.84,1.66542,1.06215,1.04361,0.66459,0.73909,0.72167,0.36468,1.60579,1.01491,1.02212,0.000815959,0.000815959,0.000815959
67,1405.54,1.65023,1.09005,1.02941,0.66338,0.75328,0.72086,0.37236,1.61057,1.00797,1.02323,0.000806528,0.000806528,0.000806528
68,1426.14,1.65649,1.05091,1.04348,0.68826,0.75491,0.73831,0.3742,1.62345,0.99879,1.02543,0.000797096,0.000797096,0.000797096
69,1447.13,1.65888,1.05508,1.03773,0.71312,0.72802,0.74734,0.38025,1.60636,0.98222,1.02536,0.000787665,0.000787665,0.000787665
70,1468.2,1.65633,1.06549,1.03193,0.68703,0.73809,0.72952,0.36485,1.63626,1.01186,1.03094,0.000778233,0.000778233,0.000778233
71,1488.77,1.63948,1.04639,1.0258,0.69528,0.73943,0.73905,0.37633,1.61972,0.99349,1.02788,0.000768802,0.000768802,0.000768802
72,1509.29,1.66039,1.05412,1.06876,0.69926,0.75276,0.75528,0.38349,1.60262,0.98622,1.01951,0.000759371,0.000759371,0.000759371
73,1530.19,1.63862,1.03251,1.03478,0.68993,0.74504,0.74662,0.3769,1.61327,0.98267,1.02132,0.000749939,0.000749939,0.000749939
74,1550.75,1.64833,1.03441,1.02606,0.70339,0.75246,0.74887,0.37858,1.63531,0.98005,1.03092,0.000740508,0.000740508,0.000740508
75,1571.23,1.64269,1.02847,1.05605,0.69794,0.75542,0.75469,0.39161,1.59924,0.96227,1.02194,0.000731076,0.000731076,0.000731076
76,1592.4,1.64054,1.02157,1.03338,0.70454,0.76545,0.75697,0.39114,1.59841,0.95691,1.02135,0.000721645,0.000721645,0.000721645
77,1612.9,1.62763,0.99757,1.03365,0.69027,0.7508,0.7499,0.38093,1.61705,0.97037,1.02165,0.000712214,0.000712214,0.000712214
78,1633.42,1.62158,1.01604,1.02301,0.69664,0.76574,0.75676,0.38761,1.60135,0.96795,1.01843,0.000702782,0.000702782,0.000702782
79,1654.02,1.63952,1.02828,1.03355,0.70351,0.75729,0.75372,0.39148,1.59303,0.96712,1.01887,0.000693351,0.000693351,0.000693351
80,1674.59,1.62779,1.02588,1.02678,0.71328,0.7503,0.76468,0.38662,1.59875,0.97776,1.01677,0.000683919,0.000683919,0.000683919
81,1695.22,1.62357,1.01994,1.03684,0.69046,0.77298,0.76202,0.39095,1.58179,0.9629,1.01406,0.000674488,0.000674488,0.000674488
82,1716.23,1.6262,1.02012,1.03383,0.70786,0.74116,0.74634,0.39162,1.57362,0.9673,1.01635,0.000665057,0.000665057,0.000665057
83,1736.93,1.62079,1.01081,1.0218,0.71462,0.75031,0.75755,0.39468,1.57859,0.94928,1.01401,0.000655625,0.000655625,0.000655625
84,1758.18,1.61776,1.00476,1.02629,0.68001,0.76165,0.73752,0.3831,1.5814,0.97833,1.01567,0.000646194,0.000646194,0.000646194
85,1778.75,1.60941,0.98391,1.01843,0.69081,0.77356,0.75445,0.38802,1.59516,0.96104,1.01622,0.000636762,0.000636762,0.000636762
86,1799.29,1.61301,1.00729,1.03367,0.70995,0.75077,0.76104,0.39644,1.58215,0.94854,1.0164,0.000627331,0.000627331,0.000627331
87,1820.28,1.61668,1.00278,1.01742,0.69184,0.77094,0.75216,0.38284,1.57827,0.96118,1.01238,0.0006179,0.0006179,0.0006179
88,1840.75,1.58841,0.99604,1.01958,0.71026,0.75288,0.76237,0.39671,1.56043,0.94927,1.0119,0.000608468,0.000608468,0.000608468
89,1861.8,1.61117,0.98023,1.03244,0.7186,0.76089,0.75849,0.40057,1.56317,0.93714,1.01055,0.000599037,0.000599037,0.000599037
90,1882.95,1.59826,0.99853,1.02228,0.71572,0.76165,0.76912,0.39934,1.57762,0.941,1.01231,0.000589605,0.000589605,0.000589605
